"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EQW4CCGD","journalArticle","2021","Arab-Zozani, Morteza; Imani, Ali; Doshmangir, Leila; Dalal, Koustuv; Bahreini, Rona","Assessment of medical equipment maintenance management: proposed checklist using iranian experience","Biomedical Engineering Online","","1475-925X","10.1186/s12938-021-00885-5","","Background Effective maintenance management of medical equipment is one of the major issues for quality of care, for providing cost-effective health services and for saving scarce resources. This study aimed to develop a comprehensive checklist for assessing the medical equipment maintenance management (MEMM) in the Iranian hospitals. Methods This is a multi-methods study. First, data related to factors which affect the assessment of MEMM were collected through a systematic review in PubMed, ProQuest, Scopus, Embase, and web of science without any time limitation until October 2015, updated in June 2017. Then, we investigated these factors affecting using document review and interviews with experts in the Iranian hospitals. In the end, the results of the first and second stages were combined using content analysis and the final checklist was developed in a two-round Delphi. Results Using a combination of factors extracted from the systematic and qualitative studies, the primary checklist was developed in the form of assessment checklists in seven dimensions. The final checklist includes 7 dimensions and 19 sub-categories: ""resources = 3,"" ""quality control = 3,"" ""information bank = 4,"" ""education = 1,"" ""service = 3,"" ""inspection and preventive maintenance = 2"" and ""design and implementation = 3."" Conclusions Developing an assessment checklist for MEMM provide a comprehensive framework for the proper implementation of accurate assessment of medical equipment maintenance. This checklist can be used to improve the profitability of health facilities and the reliability of medical equipment. In addition, it is implicated in the decision-making in support of selection, purchase, repair and maintenance of medical equipment, especially for capital equipment managers and medical engineers in hospitals and also for the assessment of this process.","2021-05-21","2026-04-29 04:22:46","2026-04-29 04:23:46","2026-01-12","","","1","20","","Biomed. Eng. Online","Assessment of medical equipment maintenance management","","","","","BMC","London","en","","","","","Clarivate Analytics Web of Science","","numPages: 23 Web of Science ID: WOS:000653047400001","","","","Assessment; Engineering, Biomedical; Hospital; Maintenance management; Medical devices; Medical equipment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VWWMVS79","journalArticle","2022","Li, Jiansheng; Mao, Yajie; Zhang, Jin","Maintenance and quality control of medical equipment based on information fusion technology","Computational Intelligence and Neuroscience","","1687-5265, 1687-5273","10.1155/2022/9333328","","In the medical field, to ensure the use of large medical equipment, it is necessary to carry out regular maintenance on large medical equipment. In the process of maintenance and maintenance of large-scale medical equipment, most medical personnel have not established a corresponding quality management system, neglecting daily maintenance and maintenance, resulting in many hidden dangers of medical accidents. To this end, the quality control of large medical devices should be strengthened, the control before, during, and after the event should be done well, and a comprehensive analysis of the operation methods of the equipment should be carried out to achieve reasonable maintenance of the equipment. Therefore, this paper discusses the maintenance, management, maintenance, and quality management of large medical equipment under the function of information fusion technology. This paper summarizes the problems encountered in the maintenance of medical equipment in the past and creates a medical quality control system to manage the maintenance and quality control of medical equipment. In the maintenance system of medical equipment, scientific management theories and methods are used to predict, adjust, inspect, and account for the quality of the entire production process of the equipment, and establish a complete quality monitoring and management system. To achieve optimal maintenance and economic benefits, the overall quality of medical equipment can be comprehensively improved. The data shows that the actual number of monitors for quality control testing in 2020 is 502 units, 496 units have passed the initial inspection, and 502 units have passed the maintenance, which shows that the maintenance and quality control of medical equipment based on information fusion technology is effective.","2022-10-13","2026-04-29 04:22:46","2026-04-29 04:23:40","2026-01-12","","","","2022","","Comput. Intell. Neurosci.","","","","","","Hindawi Ltd","London","en","","","","","","","numPages: 11 Web of Science ID: WOS:000876418900008","","","","Mathematical & Computational Biology; Neurosciences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S4JH36WG","journalArticle","2015","Saleh, Neven; Sharawi, Amr A.; Abd Elwahed, Manal; Petti, Alberto; Puppato, Daniele; Balestra, Gabriella","Preventive maintenance prioritization index of medical equipment using quality function deployment","IEEE Journal of Biomedical and Health Informatics","","2168-2194","10.1109/JBHI.2014.2337895","","Preventive maintenance is a core function of clinical engineering, and it is essential to guarantee the correct functioning of the equipment. The management and control of maintenance activities are equally important to perform maintenance. As the variety of medical equipment increases, accordingly the size of maintenance activities increases, the need for better management and control become essential. This paper aims to develop a new model for preventive maintenance priority of medical equipment using quality function deployment as a new concept in maintenance of medical equipment. We developed a three-domain framework model consisting of requirement, function, and concept. The requirement domain is the house of quality matrix. The second domain is the design matrix. Finally, the concept domain generates a prioritization index for preventive maintenance considering the weights of critical criteria. According to the final scores of those criteria, the prioritization action of medical equipment is carried out. Our model proposes five levels of priority for preventive maintenance. The model was tested on 200 pieces of medical equipment belonging to 17 different departments of two hospitals in Piedmont province, Italy. The dataset includes 70 different types of equipment. The results show a high correlation between risk-based criteria and the prioritization list.","2015-05","2026-04-29 04:22:46","2026-04-29 04:23:42","2026-01-12","1029-1035","","3","19","","IEEE J. Biomed. Health Inform.","","","","","","IEEE-Inst Electrical Electronics Engineers Inc","Piscataway","en","","","","","","","numPages: 7 Web of Science ID: WOS:000356511900029","","","","Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Mathematical & Computational Biology; Medical equipment; Medical Informatics; preventive maintenance (PM); prioritization; quality function deployment (QFD)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2C2STAWQ","journalArticle","2023","Zamzam, Aizat Hilmi; Hasikin, Khairunnisa; Wahab, Ahmad Khairi Abdul","Integrated failure analysis using machine learning predictive system for smart management of medical equipment maintenance","Engineering Applications of Artificial Intelligence","","0952-1976, 1873-6769","10.1016/j.engappai.2023.106715","","The study aims to develop the failure analysis predictive models, which prognosticate first failure event (FFE), failure-to-year ratio (FYR), and failure rectification group (FRG). The construction of predictive models involved nineteen categories of 13,350 units of medical equipment. We proposed thirteen novel features in assessing medical equipment failures. The failure analysis predictive models were categorised into several classes for training and testing the developed models. There was seven supervised machine learning classifiers and performance metrics applied in the experiment. The experiment demonstrates that Support Vector Machine is the best classifier for the FFE predictive model, which achieves an accuracy of 96.9% after hyperparameter optimisation. Furthermore, Decision Tree is the best classifier for FYR, with an accuracy of 83.9%. Meanwhile, the comparative analysis for FRG discovered that Artificial Neural Network achieved the highest accuracy among others with 76.7% accuracy after the hyperparameter optimisation process. Findings from this study indicate that this failure analysis predictive model functions as a main instrument for conducting predictive maintenance in the direction of smart maintenance practices. Through the developed predictive systems, timely maintenance of medical equipment can be performed. This will also assist healthcare service providers in initiating the remanufacturing and refurbishment programme, ensuring efficient medical care delivery. The suggested framework of machine learning-assisted failure analysis for medical equipment maintenance management may provide clinical engineers with guidance for managing the strategic maintenance management for medical equipment.","2023-10","2026-04-29 04:22:46","2026-04-29 04:23:44","2026-01-12","","","","125","","Eng. Appl. Artif. Intell.","","","","","","Pergamon-Elsevier Science Ltd","Oxford","en","","","","","","","numPages: 14 Web of Science ID: WOS:001037002100001","","","","ALGORITHMS; Automation & Control Systems; Biomedical instrumentation; Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Engineering, Multidisciplinary; Failure analysis; GOOGLE SCHOLAR; Machine learning; Medical device; Predictive maintenance; PRIORITIZATION; SCIENCE; SCOPUS; WEB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z34CDXAV","journalArticle","2021","Zamzam, Aizat Hilmi; Al-Ani, Ayman Khallel Ibrahim; Wahab, Ahmad Khairi Abdul; Lai, Khin Wee; Satapathy, Suresh Chandra; Khalil, Azira; Azizan, Muhammad Mokhzaini; Hasikin, Khairunnisa","Prioritisation assessment and robust predictive system for medical equipment: A comprehensive strategic maintenance management","FRONTIERS IN PUBLIC HEALTH","","2296-2565","10.3389/fpubh.2021.782203","","The advancement of technology in medical equipment has significantly improved healthcare services. However, failures in upkeeping reliability, availability, and safety affect the healthcare services quality and significant impact can be observed in operations' expenses. The effective and comprehensive medical equipment assessment and monitoring throughout the maintenance phase of the asset life cycle can enhance the equipment reliability, availability, and safety. The study aims to develop the prioritisation assessment and predictive systems that measure the priority of medical equipment's preventive maintenance, corrective maintenance, and replacement programmes. The proposed predictive model is constructed by analysing features of 13,352 medical equipment used in public healthcare clinics in Malaysia. The proposed system comprises three stages: prioritisation analysis, model training, and predictive model development. In this study, we proposed 16 combinations of novel features to be used for prioritisation assessment and prediction of preventive maintenance, corrective maintenance, and replacement programme. The modified k-Means algorithm is proposed during the prioritisation analysis to automatically distinguish raw data into three main clusters of prioritisation assessment. Subsequently, these clusters are fed into and tested with six machine learning algorithms for the predictive prioritisation system. The best predictive models for medical equipment's preventive maintenance, corrective maintenance, and replacement programmes are selected among the tested machine learning algorithms. Findings indicate that the Support Vector Machine performs the best in preventive maintenance and replacement programme prioritisation predictive systems with the highest accuracy of 99.42 and 99.80%, respectively. Meanwhile, K-Nearest Neighbour yielded the highest accuracy in corrective maintenance prioritisation predictive systems with 98.93%. Based on the promising results, clinical engineers and healthcare providers can widely adopt the proposed prioritisation assessment and predictive systems in managing expenses, reporting, scheduling, materials, and workforce.","2021-11-17","2026-04-29 04:22:46","2026-04-29 04:23:48","2026-01-12","","","","9","","Front. Public Health","Prioritisation assessment and robust predictive system for medical equipment","","","","","Frontiers Media Sa","Lausanne","en","","","","","","","numPages: 19 Web of Science ID: WOS:000741400900001","","","","BIG DATA; biomedical equipment; COVID-19; DECISION-MAKING SUPPORT; DEVICES; IMPACT; machine learning; MACHINE LEARNING ALGORITHMS; medical devices; MODEL; prediction; prioritisation; Public, Environmental & Occupational Health; RISK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PM8GLNMJ","journalArticle","2025","Crapanzano, Fabio; Luschi, Alessio; Satta, Francesca; Sani, Lorenzo; Iadanza, Ernesto","Evidence based management of medical devices: a follow-up experiment","Biomedical Signal Processing and Control","","1746-8094, 1746-8108","10.1016/j.bspc.2024.106867","","Ensuring the optimal operation and longevity of medical devices is essential for maintaining high safety standards in healthcare. This study presents a significant advancement in the field by enhancing an existing evidence-based maintenance (EBM) framework, which is crucial for the effective management of medical equipment. Building upon previous methodologies, this research introduces a novel, comprehensive taxonomy for categorizing maintenance reports by revising and updating existing failure codes. This refinement addresses gaps in previous models, enabling more precise and effective maintenance strategies. A key innovation of this study is the development of a standard XML protocol, which addresses the current lack of standardization in the field, providing a consistent and unified approach to data management. This standardization is critical for improving communication and data exchange across different healthcare systems and technologies. To validate the enhanced EBM framework, the study applies it to corrective maintenance work orders related to Digital Angiography Systems, Magnetic Resonance Imaging, and Computed Tomography, using data from the Pisa University Hospital's Computerized Maintenance Management System from 2021 to 2022. This validation demonstrates the reproducibility and adaptability of the framework across different medical equipment, healthcare contexts, and timeframes. The findings represent a significant advancement in healthcare technology management, offering a robust, standardized approach that optimizes the safety, functionality, and longevity of medical devices. This research not only expands maintenance standards in the healthcare sector but also provides a critical tool for addressing the current challenges in medical device maintenance, paving the way for more reliable and effective healthcare technologies.","2025-01","2026-04-29 04:22:46","2026-04-29 04:23:48","2026-01-12","","","","99","","Biomed. Signal Process. Control","Evidence based management of medical devices","","","","","Elsevier Sci Ltd","London","en","","","","","","","numPages: 13 Web of Science ID: WOS:001315220400001","","","","Biomedical engineering; Biomedical equipment; Engineering, Biomedical; MAINTENANCE; Maintenance management; Medical devices","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UABNGUDJ","journalArticle","2012","Hamdi, Naser; Oweis, Rami; Abu Zraiq, Hamzeh; Abu Sammour, Denis","An intelligent healthcare management system: a new approach in work-order prioritization for medical equipment maintenance requests","Journal of Medical Systems","","0148-5598, 1573-689X","10.1007/s10916-010-9501-4","","The effective maintenance management of medical technology influences the quality of care delivered and the profitability of healthcare facilities. Medical equipment maintenance in Jordan lacks an objective prioritization system; consequently, the system is not sensitive to the impact of equipment downtime on patient morbidity and mortality. The current work presents a novel software system (EQUI-MEDCOMP) that is designed to achieve valuable improvements in the maintenance management of medical technology. This work-order prioritization model sorts medical maintenance requests by calculating a priority index for each request. Model performance was assessed by utilizing maintenance requests from several Jordanian hospitals. The system proved highly efficient in minimizing equipment downtime based on healthcare delivery capacity, and, consequently, patient outcome. Additionally, a preventive maintenance optimization module and an equipment quality control system are incorporated. The system is, therefore, expected to improve the reliability of medical equipment and significantly improve safety and cost-efficiency.","2012-04","2026-04-29 04:22:46","2026-04-29 04:23:52","2026-01-12","557-567","","2","36","","J. Med. Syst.","An intelligent healthcare management system","","","","","Springer","New York","en","","","","","","","numPages: 11 Web of Science ID: WOS:000303825500022","","","","Biomedical technology management; Health Care Sciences & Services; INSPECTION; Medical Informatics; Preventive maintenance; PREVENTIVE MAINTENANCE; Quality control; Work-order prioritization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MG4PK5VG","journalArticle","2024","Tan, Xiaomei; Mao, Yajie; Zhang, Jin; Li, Jiansheng","Surplus value quantification of overdue medical devices based on kohonen network algorithm","Scientific Reports","","2045-2322","10.1038/s41598-024-73813-x","","With the continuous updating and progress of medical equipment, the overdue medical device has problems such as management difficulties, resource waste, and potential security risks. Therefore, this paper used the Kohonen network algorithm to quantitatively evaluate and analyze the surplus value of overdue medical devices. In this paper, the Kohonen network algorithm was used to build a quantitative model of the surplus value of the overdue medical device, and the self-organization characteristics and data-driven learning ability of the Kohonen network were used to predict the surplus value of the equipment more accurately. Support vector machine was used to quantitatively evaluate and predict the surplus value of overdue medical devices, and further optimize the model performance, to provide more accurate and reliable decision support for medical equipment management. The Kohonen network algorithm used in this paper evaluated the correlation between the service life and maintenance cost of eight types of overdue medical devices and quantitatively predicted the surplus value of overdue medical devices with the random forest algorithm. According to the comparison of prediction bias, the maximum deviation between the expected surplus value and the actual surplus value is only 1, and the deviation value by the random forest algorithm is as low as 6, the Kohonen network algorithm in this paper has better prediction performance than the random forest algorithm. In the experiment of comparative analysis and verification by introducing the decision tree algorithm, the average error rate of the Kohonen network algorithm in this paper was only 20.57%, which was far lower than 46.34% of the random forest algorithm and 65.31% of decision tree algorithm. The Kohonen network algorithm used in this paper can effectively quantitatively evaluate and predict the surplus value of overdue medical devices, thus improving the efficiency of medical equipment management, reducing costs, and ensuring patient safety.","2024-09-30","2026-04-29 04:22:46","2026-04-29 04:23:55","2026-01-12","","","1","14","","Sci. Rep.","","","","","","Nature Portfolio","Berlin","en","","","","","","","numPages: 11 Web of Science ID: WOS:001326080400093","","","","Kohonen Network Algorithm; MAINTENANCE; Multidisciplinary Sciences; Overdue Medical device; Quantitative Assessment; Surplus value; Unsupervised learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N7KWA8JT","journalArticle","2022","Liu, Bin; Tong, Lingli; Liu, Yanmei; Guo, Zhizhang","被撤回的出版物: maintenance and management technology of medical imaging equipment based on deep learning (retracted article)","Contrast Media & Molecular Imaging","","1555-4309, 1555-4317","10.1155/2022/6361098","","Medical equipment maintenance in modern hospital management is an emerging marginal discipline which is one of the important branches of hospital management with the dual function of management and technology. The good or bad management of medical equipment directly affects the quality of hospital work. With the development of science and technology, the scale of hospitals continues to expand and develop; hospitals are equipped with more and more medical equipment and its technical content is getting higher and higher, which makes the medical equipment management and maintenance practitioners more demanding. However, the situation of existing medical equipment management and maintenance personnel is not optimistic. For this reason, this paper designs a good database structure, which can effectively reduce data redundancy and better avoid the problems that may occur during the database operation. As a reference guideline for database design, the three database paradigms can be studied and understood in depth to help software designers design more ""robust"" databases, enabling effective maintenance and management of medical imaging equipment.","2022-07-01","2026-04-29 04:22:46","2026-04-29 04:23:58","2026-01-12","","","","2022","","Contrast Media Mol. Imaging","被撤回的出版物","","","","","Wiley-Hindawi","London","en","","","","","","","numPages: 9 Web of Science ID: WOS:000827424800002","","","","ARTIFICIAL-INTELLIGENCE; IDENTIFICATION; Radiology, Nuclear Medicine & Medical Imaging; SYSTEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWZHP7Z2","journalArticle","2022","Chang, Xiaoyi; Zhao, Yongqiang; Li, Yuebin; Bai, Ting; Gao, Jungang; Zhao, Chao","被撤回的出版物: cost-effectiveness of life cycle cost theory-based large medical equipment (retracted article)","Applied Bionics and Biomechanics","","1176-2322, 1754-2103","10.1155/2022/8045401","","The purpose of this study is to use the life cycle cost theory to analyze the efficiency of large medical equipment in hospitals, so as to implement life cycle cost (LCC) management and solve the current problems in hospitals. The analysis model of cost benefit of large medical equipment is established, and the cost-effectiveness of 4 large medical equipment between 2019 and 2021 is investigated and analyzed. In terms of the data in each information system of hospitals, the utilization of large medical equipment is quantitatively evaluated and analyzed by life cycle theory. The results show that the Revolution 256 row has the highest revenue of 113.29%. The annual depreciation of Signa 3.0 T HDxt is the highest, amounting to 4,160,000 yuan. However, there is lack of quality control and preventive maintenance of most equipment during use. The cost and benefit of large medical equipment in hospitals are analyzed, which demonstrates that Signa 3.0 T HDxt shows better effectiveness. Too high hospital warranty cost reflects the weak maintenance strength of hospital engineering technicians. The fundamental point of the maintenance and management of large medical equipment is to strengthen the performance evaluation of medical engineering technicians.","2022-04-16","2026-04-29 04:22:46","2026-04-29 04:24:01","2026-01-12","","","","2022","","Appl. Bionics Biomech.","被撤回的出版物","","","","","Wiley","Hoboken","en","","","","","","","numPages: 12 Web of Science ID: WOS:000792694600002","","","","HEALTH; CARE; WASTE; Engineering, Biomedical; Robotics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
