id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
197	brigham & womens hosp	-0.4301	-0.071	2	13	19	11	246	8.1756	2017.2727	22.3636	0.7432
203	brunel univ	0.1191	-0.6561	2	1	2	5	487	16.059	2009.2	97.4	3.2118
340	columbia univ	-0.3352	-0.6124	2	4	4	8	481	13.2953	2011.75	60.125	1.6619
415	delft univ technol	0.6458	0.5136	1	4	5	6	111	11.3041	2019.6667	18.5	1.884
447	duke univ	-0.2246	-0.4008	2	9	9	8	158	5.6135	2018.25	19.75	0.7017
448	dundalk inst technol	0.2153	-1.0069	5	0	0	9	88	5.6399	2015.6667	9.7778	0.6267
486	erasmus mc	0.8887	0.6348	1	2	3	5	71	7.8731	2020.6	14.2	1.5746
624	harvard med sch	-0.2286	-0.0294	2	10	18	14	168	12.3092	2021.5714	12	0.8792
626	harvard univ	-0.7959	0.0996	3	9	12	8	162	8.5245	2015.25	20.25	1.0656
676	hosp civils lyon	0.5787	-0.9104	6	0	0	5	91	5.3245	2015.4	18.2	1.0649
731	imperial coll london	-0.0025	0.3073	1	3	3	8	54	6.1458	2023.25	6.75	0.7682
752	inserm	-0.6202	-0.8344	4	1	2	5	65	4.6817	2018.2	13	0.9363
789	int federat med & biol engn ifmbe	0.5295	-0.5351	1	3	24	9	26	2.0015	2023	2.8889	0.2224
806	islamic azad univ	-1.1128	0.0348	7	0	0	5	40	5.5287	2018.8	8	1.1057
877	katholieke univ leuven	0.4665	0.3642	1	5	5	6	37	3.5982	2023.6667	6.1667	0.5997
897	king saud univ	0.1881	-0.0129	2	2	2	8	129	11.3667	2021.625	16.125	1.4208
982	lund univ	0.6335	0.871	1	1	1	8	93	9.3581	2019.375	11.625	1.1698
1006	mayo clin	-0.4122	0.3128	3	4	6	5	99	16.2448	2018.6	19.8	3.249
1037	medtronic plc	-0.6949	0.6404	3	2	2	7	101	6.1523	2021.4286	14.4286	0.8789
1062	minist hlth	-0.9223	0.317	3	3	4	8	80	5.0328	2019.375	10	0.6291
1081	monash univ	0.3655	0.9526	1	2	2	5	51	5.9408	2021.6	10.2	1.1882
1208	northwestern univ	-0.5189	-0.5055	2	10	11	6	248	15.4223	2014.5	41.3333	2.5704
1233	ohio state univ	-0.4265	-0.3299	2	11	14	7	80	9.1721	2018.1429	11.4286	1.3103
1247	oregon hlth & sci univ	-0.8051	-0.5572	2	5	5	6	36	4.0653	2019.8333	6	0.6776
1296	politecn milan	0.389	-0.0991	1	1	1	5	18	2.5492	2023.4	3.6	0.5098
1356	res & dev ctr bioengn bioirc	0.9657	-0.455	1	3	13	7	4	1.9728	2025	0.5714	0.2818
1366	rhein westfal th aachen	-0.0045	-0.4507	3	1	1	6	137	6.0479	2018.5	22.8333	1.008
1434	semmelweis univ	0.043	0.5296	1	4	5	6	687	24.8073	2021.5	114.5	4.1346
1453	shanghai jiao tong univ	-0.1302	0.7155	1	3	4	8	205	13.6556	2020.75	25.625	1.7069
