id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight
1	access	0.856	-0.4438	1	25	27	6
2	accuracy	0.8186	-0.7056	6	24	25	7
3	active implantable medical device (aimd)	0.1875	-0.378	7	27	66	14
4	adverse events	0.7622	-0.6587	6	39	47	13
5	ahp	0.2708	-0.5333	9	23	29	6
6	algorithm	0.5975	-0.4403	3	21	24	7
7	algorithms	0.4551	-0.7112	5	14	14	4
8	analytic hierarchy process	0.9023	-0.5064	1	12	13	5
9	anesthesia	0.7769	-0.5886	6	16	17	6
10	approval	0.7944	-0.5285	1	20	23	9
11	architecture	0.3845	-0.6593	5	15	16	4
12	artificial intelligence	0.3975	-0.7562	5	60	92	31
13	artificial-intelligence	0.3958	-0.6967	5	32	39	11
14	assessment	0.6259	-0.8596	4	14	14	5
15	association	0.4823	-0.2834	2	13	15	6
16	authentication	0.2898	-0.8044	5	9	13	4
17	automation	0.5219	-0.7613	4	6	6	4
18	barriers	0.8193	-0.4566	1	25	28	8
19	batteries	0.2593	-0.4308	7	9	10	4
20	behavior	0.4894	-0.3742	2	9	9	5
21	bias	0.8153	-0.6124	6	20	24	8
22	big data	0.3587	-0.6925	5	27	29	5
23	biocompatibility	0.3724	-0.3228	2	29	37	17
24	biological evaluation	0.3745	-0.3844	2	11	12	4
25	biomedical engineering	0.1426	-0.6072	9	14	17	5
26	biomedical equipment	0.3712	-0.7128	5	26	33	7
27	blockchain	0.3159	-0.7717	5	30	41	10
28	blood	0.4213	-0.406	2	6	7	4
29	bone	0.4284	-0.317	2	12	12	4
30	brain	0.1519	-0.3184	7	11	14	4
31	cancer	0.1338	-0.4923	7	18	21	10
32	cardiovascular devices	0.8227	-0.5391	1	24	28	5
33	causal inference	0.8123	-0.6691	6	8	11	4
34	challenges	0.8336	-0.504	1	50	59	13
35	checklist	0.9101	-0.4964	1	20	21	5
36	chemicals	0.3491	-0.3033	2	11	15	4
37	children	0.5912	-0.5871	3	24	29	10
38	circular economy	0.6877	-0.2805	8	17	22	6
39	classification	0.3751	-0.7355	5	39	43	13
40	clinical engineering	0.4226	-0.795	5	35	48	20
41	clinical evaluation	0.397	-0.4467	2	9	9	7
42	clinical trial	0.9099	-0.4407	1	9	9	6
43	clinical trials	0.8309	-0.5716	1	20	22	9
44	clinical-trials	0.5034	-0.2814	2	20	20	6
45	complications	0.1893	-0.4923	7	11	11	4
46	conformity assessment	0.6041	-0.9286	4	8	8	4
47	corrosion	0.3007	-0.3056	2	12	12	4
48	cost	0.6083	-0.6495	3	13	14	9
49	cost-effectiveness	0.8173	-0.4394	1	28	35	10
50	costs	0.7521	-0.3011	8	18	19	5
51	coverage	0.9112	-0.4561	1	15	16	4
52	covid-19	0.4987	-0.4396	3	34	39	9
53	criteria	0.4367	-0.2509	2	22	22	7
54	ct	0.6305	-0.3193	8	7	7	4
55	cybersecurity	0.5609	-0.9004	4	23	25	4
56	database	0.9457	-0.5648	1	6	7	4
57	decision making	0.9076	-0.5286	1	14	15	6
58	decision-making	0.2282	-0.6317	9	47	55	17
59	decision-support	0.8747	-0.5415	1	15	16	4
60	deep learning	0.3475	-0.7636	5	26	30	8
61	design	0.5858	-0.8211	4	100	153	50
62	device	0.5057	-0.3374	2	19	19	5
63	devices	0.1864	-0.5431	9	46	50	12
64	diagnosis	0.4613	-0.3367	2	28	30	11
65	diagnostics	0.8764	-0.2266	8	7	7	5
66	diffusion	0.4046	-0.3734	2	16	17	6
67	digital health	0.6841	-0.8082	4	21	23	8
68	disease	0.8969	-0.3803	1	8	8	4
69	disinfection	0.4251	-0.5355	3	11	14	6
70	drugs	0.804	-0.5255	1	22	26	7
71	durable medical equipment	0.8651	-0.4108	1	17	19	5
72	earthquake	0.663	-0.2057	8	9	12	4
73	ecg	0.3323	-0.8342	5	14	16	5
74	economic evaluation	0.86	-0.4609	1	22	25	6
75	economic-evaluation	0.7909	-0.4827	1	26	33	7
76	education	0.636	-0.5491	3	32	36	12
77	effectiveness	0.9142	-0.4299	1	17	18	5
78	efficacy	0.7842	-0.2464	8	16	17	8
79	efficiency	0.6848	-0.3272	8	17	18	8
80	electrocardiogram	0.3942	-0.8354	5	9	9	4
81	electromagnetic interference	0.4734	-0.9069	4	3	4	4
82	equipment and supplies	0.6339	-0.425	3	13	13	4
83	ergonomics	0.6033	-0.7675	4	16	23	8
84	error	0.6648	-0.6814	6	26	26	7
