id	document	citations	links		
1049	benjamens (2020)	649	10	The state of artificial intelligence-based FDA-approved medical devices and algorithms: an online database	
1039	kotzar (2002)	347	0	Evaluation of MEMS materials of construction for implantable medical devices	
583	zhang (2003)	318	16	Using usability heuristics to evaluate patient safety of medical devices	
1068	goceri (2023)	238	0	"Medical image data augmentation: techniques, comparisons and interpretations"	
885	lee (2012)	232	6	Challenges and Research Directions in Medical Cyber®CPhysical Systems	
1015	sherman (2018)	193	6	Life Cycle Assessment and Costing Methods for Device Procurement: Comparing Reusable and Single-Use Disposable Laryngoscopes	
109	shah (2007)	192	12	Benefits of and barriers to involving users in medical device technology development and evaluation	
380	thirumalai (2011)	186	3	Product Recalls in the Medical Device Industry: An Empirical Exploration of the Sources and Financial Consequences	
121	van der togt (2008)	165	5	Electromagnetic Interference From Radio Frequency Identification Inducing Potentially Hazardous Incidents in Critical Care Medical Equipment	
719	macneill (2020)	164	9	Transforming The Medical Device Industry: Road Map To A Circular Economy	
587	shah (2009)	150	11	Developing medical device technologies from users' perspectives: A theoretical framework for involving users in the development process	
1083	kwon (2023)	143	0	"A battery-less wireless implant for the continuous monitoring of vascular pressure, flow rate and temperature"	
512	dey (2018)	135	5	Medical cyber-physical systems: A survey	
254	martin (2008)	130	12	Medical device development: The challenge for ergonomics	
1075	kayser (2018)	128	14	Prevalence and Analysis of Medical Device-Related Pressure Injuries: Results from the International Pressure Ulcer Prevalence Survey	
704	winterhalter (2017)	122	1	Business Models for Frugal Innovation in Emerging Markets: The Case of the Medical Device and Laboratory Equipment Industry	
1066	wazid (2018)	122	1	A Novel Authentication and Key Agreement Scheme for Implantable Medical Devices Deployment	
858	maisel (2004)	121	10	Medical Device Regulation: An Introduction for the Practicing Physician	
120	liu (2021)	118	1	Evolutionary game analysis on the recycling strategy of household medical device enterprises under government dynamic rewards and punishments	
309	malinauskas (2017)	116	2	FDA Benchmark Medical Device Flow Models for CFD Validation	
841	helmus (2008)	112	0		
231	chatterji (2008)	111	1		
794	dea (2016)	110	0		
582	sorenson (2014)	109	8		
953	sandoe (2003)	108	0		
741	coyer (2014)	106	16		
1085	hodde (2002)	104	0		
832	jiang (2012)	103	2		
547	ho (2016)	100	4		
683	samore (2004)	98	11		
894	hasani (2015)	97	0		
766	lv (2021)	94	0		
224	barakat-johnson (2017)	90	12		
773	larson (2021)	90	2		
334	lin (2014)	89	3		
292	jamshidi (2015)	84	17		
87	beckers (2021)	79	6		
