id	label	x	y	cluster	weight<Links>	weight
1	arab-zozani (2021)	0.6421	-0.1948	1	4	14
2	li (2022)	0.9736	-0.525	6	4	20
3	saleh (2015)	0.8574	-0.2396	1	5	25
4	zamzam (2023)	0.6269	-0.3182	1	12	18
5	zamzam (2021)	0.6977	-0.2344	1	18	22
6	crapanzano (2025)	0.8352	-0.4813	6	4	3
7	hamdi (2012)	0.6886	-0.3198	1	11	40
8	liu (2022a)	0.6906	-0.8708	8	3	2
9	chang (2022)	0.0786	-0.7557	4	2	3
10	akpinar (2025)	0.1997	-0.5066	4	1	0
11	li (2023a)	0.3812	-0.5349	7	2	62
12	iadanza (2019a)	0.8807	-0.5151	6	7	38
13	shamayleh (2020)	0.8787	-0.2776	1	7	64
14	kamal (2021)	0.6471	-0.2896	1	4	18
15	li (2023b)	0.7523	-0.5677	6	1	5
16	wahab (2025)	0.7105	-0.2377	1	5	1
17	mercolli (2024)	0.2661	-0.1928	5	1	3
18	ishida (2014)	0.7796	-0.3613	1	1	6
19	aunion-villa (2020)	0.8526	-0.5032	6	3	6
20	flewwelling (2014)	0.457	-0.876	2	3	13
21	ucin (2024)	0.7169	-0.1965	1	1	0
22	he (2024)	0.715	-0.3203	1	1	0
23	martina (2024a)	0.1313	-0.4294	3	4	2
24	ben houria (2016)	0.822	-0.2974	1	8	18
25	alhussaini (2024)	0.9151	-0.5401	6	3	2
26	kim (2020a)	0.6593	-0.2552	1	3	10
27	miguel cruz (2012)	0.9029	-0.5854	6	8	26
28	sezdi (2016)	0.7211	-0.2603	1	11	20
29	bektemur (2018)	0.7179	-0.1974	1	2	10
30	park (2025)	0.679	-0.2682	1	7	0
31	abd rahman (2023a)	0.7391	-0.2135	1	8	10
32	chen (2018a)	0.4747	-0.2497	5	1	3
33	oshiyama (2012)	0.7644	-0.2948	1	3	14
34	pinho (2023)	0.8568	-0.5457	6	5	5
35	aborujilah (2021)	0.4843	-0.5807	7	1	13
36	khalaf (2015)	0.9171	-0.4906	6	1	10
37	martinovic (2025)	0.7885	-0.2559	1	3	1
38	liao (2021)	0.683	-0.291	1	3	14
39	huang (2024a)	0.706	-0.2621	1	4	3
40	taghipour (2011)	0.6006	-0.2297	1	21	71
41	weng (2025)	0.6127	-0.426	7	3	2
42	badnjevic (2023a)	0.7905	-0.2031	1	1	2
43	maresova (2020)	0.4614	-0.8395	2	8	7
44	schwab (2018)	0.4398	-0.829	2	4	2
45	kearney (2023)	0.2609	-0.4292	3	3	24
46	badnjevic (2023b)	0.8433	-0.2094	1	2	4
47	badnjevic (2023c)	0.7699	-0.1969	1	2	4
48	hillebrecht (2022)	0.9017	-0.557	6	6	7
49	huang (2024b)	0.7905	-0.301	1	2	4
50	badnjevic (2023d)	0.7622	-0.2128	1	3	2
51	miniati (2011)	0.6309	-0.2682	1	3	19
52	lindholm (2015)	0.8433	-0.7547	8	4	2
53	lu (2024)	0.956	-0.5498	6	4	2
54	badnjevic (2023e)	0.8089	-0.2281	1	3	5
55	li (2025a)	0.9052	-0.5209	6	16	1
56	lin (2024)	0.8093	-0.3	1	2	1
57	abd rahman (2023b)	0.7674	-0.2333	1	12	12
58	schmuland (2005)	0.8037	-0.8004	8	5	14
59	zheng (2023)	0.6868	-0.2108	1	4	1
60	zhou (2024)	0.7946	-0.2825	1	2	6
61	beckers (2021)	0.2427	-0.4813	3	6	79
62	badnjevic (2019)	0.8332	-0.2036	1	20	56
63	badnjevic (2023f)	0.7802	-0.1977	1	1	3
64	bastogne (2022)	0.4996	-0.8585	2	1	6
65	moura (2017)	0.8028	-0.537	6	3	21
66	zamaludin (2025)	0.9197	-0.5012	6	3	0
67	qiu (2023)	0.9502	-0.514	6	2	9
68	van der peijl (2012)	0.5364	-0.7965	2	1	20
69	miguel cruz (2010)	0.9209	-0.6226	6	2	7
70	badnjevic (2023g)	0.811	-0.2386	1	1	1
71	carmen carnero (2016)	0.8595	-0.599	6	7	33
72	manchadi (2023)	0.8059	-0.2568	1	9	24
73	shah (2007)	0.4772	-0.8219	2	12	192
74	badnjevic (2023h)	0.799	-0.2096	1	1	3
75	martina (2024b)	0.1351	-0.4184	3	7	5
76	hu (2026)	0.7629	-0.249	1	3	0
77	niemiec (2022)	0.0971	-0.4589	3	5	42
78	rajaram (2019)	0.7836	-0.7276	8	1	2
79	van der togt (2008)	0.7887	-0.3911	1	5	165
80	guzzo (2020)	0.4843	-0.513	7	4	40
81	choi (2021a)	0.4536	-0.2553	5	2	5
82	mitchell (2015)	1.0283	-0.5568	6	1	27
83	hunte (2024)	0.7442	-0.7979	8	3	13
84	yang (2023)	0.4722	-0.4307	7	2	2
85	iadanza (2021)	0.6785	-0.3651	1	3	5
86	huang (2025)	0.8574	-0.3609	1	1	1
87	suendermann (2024a)	0.1601	-0.3802	3	4	2
88	bovee (2001)	0.7836	-0.7464	8	4	7
89	shazril (2024)	0.6866	-0.2501	1	1	3
90	seo (2022)	0.6057	-0.1943	1	4	9
91	efthymiou (2022)	0.4185	-0.2583	5	2	11
92	cao (2022a)	0.4081	-0.957	2	1	1
93	sun (2022)	0.3873	-0.2348	5	2	4
94	jiang (2021a)	0.2821	-0.4021	3	2	16
95	mcgrane (2022)	0.4049	-0.7245	2	1	14
96	egbosimba (2019)	0.0708	-0.5089	3	1	2
97	shin (2023)	0.4657	-0.7728	2	5	7
98	francesconi (2025)	0.1538	-0.4294	3	4	1
99	zippel (2017a)	0.3803	-0.2785	5	5	10
100	tsai (2019)	0.8847	-0.3354	1	1	21
101	wang (2023a)	0.8306	-0.2854	1	2	5
102	keutzer (2020)	0.0637	-0.3766	3	3	34
103	tavakoli (2025)	0.7122	-0.3087	1	3	1
104	miguel cruz (2014)	0.9757	-0.5698	6	6	19
105	choi (2025)	0.4113	-0.7467	2	3	0
106	kamal (2022)	0.7116	-0.2954	1	5	14
107	lesen (2017)	0.1146	-0.7584	4	6	15
108	martelli (2015)	0.0928	-0.6058	4	2	15
109	pesapane (2025)	0.1557	-0.4844	3	2	13
110	diaconu (2017)	0.5976	-0.4849	7	3	57
111	badnjevic (2023i)	0.805	-0.2188	1	1	2
112	kuo (2013)	0.4202	-0.8007	2	4	0
113	manetti (2023)	0.1796	-0.7504	4	3	3
114	alkhatib (2025)	0.7785	-0.2596	1	3	1
115	luschi (2023)	0.9009	-0.4755	6	3	4
116	santos-costa (2022)	0.4287	-0.7448	2	2	3
117	piaggio (2021)	0.2631	-0.707	4	2	23
118	mclaughlin (2020)	0.3377	-0.7281	2	1	10
119	schuh (2008)	0.3165	-0.8557	2	1	50
120	marques de santana (2018)	0.8225	-0.5417	6	3	4
121	martin (2008)	0.4752	-0.726	2	12	130
122	nelson (2001)	0.1366	-0.6724	4	1	3
123	mcallister (2003)	0.4205	-0.8618	2	3	25
124	fargnoli (2024)	1.0293	-0.5188	6	2	5
125	boudard (2013)	0.1328	-0.6151	4	6	28
126	han (2024)	0.3041	-0.1782	5	2	1
127	di pietro (2020)	0.2689	-0.6844	4	2	33
128	saleh (2023a)	0.6522	-0.4542	7	2	11
129	mcdermott (2024)	0.1958	-0.3997	3	7	6
130	choi (2021b)	0.3795	-0.2578	5	4	6
131	ishida (2016)	0.817	-0.3437	1	2	9
132	leidy (2006)	0.1123	-0.7925	4	2	15
133	ong (2025)	0.3058	-0.1661	5	2	8
134	zaitseva (2026)	0.7156	-0.7854	8	6	0
135	alexander (2000a)	0.6879	-0.5301	7	2	15
136	augustynek (2018)	0.1602	-0.7896	4	2	5
137	jamshidi (2015)	0.6896	-0.2771	1	17	84
138	zinchenko (2022)	0.7189	-0.8115	8	3	14
139	garzotto (2020)	0.7725	-0.2656	1	3	30
140	story (2010)	0.3854	-0.7653	2	1	4
141	spahic (2025a)	0.8078	-0.2477	1	2	0
142	moultrie (2016)	0.632	-0.5214	7	1	36
143	diani (2017)	0.2793	-0.2229	5	1	7
144	hagedorn (2015)	0.4579	-0.7885	2	6	24
145	ferner (2020)	0.6704	-0.5661	7	1	8
146	park (2023)	0.6077	-0.2927	1	1	7
147	fearis (2017)	0.5541	-0.2354	1	1	10
148	kisser (2016)	0.1333	-0.5996	4	4	11
149	newton (2010)	0.3871	-0.843	2	4	15
150	lin (2014)	0.6714	-0.3609	1	3	89
151	clemente (2019)	0.7362	-0.864	8	2	8
152	liljegren (2004)	0.4715	-0.7982	2	4	33
153	vincent (2017)	0.4386	-0.7439	2	6	10
154	mc caffery (2010)	0.7902	-0.7735	8	4	16
155	tang (2023)	0.1473	-0.4809	3	4	2
156	melvin (2022)	0.2204	-0.4016	3	6	22
157	achour (2020)	0.6967	-0.7771	8	3	40
158	altenstetter (2003)	0.364	-0.3264	5	1	33
159	ting (2011)	0.818	-0.3911	1	3	70
160	de ana (2013)	0.5824	-0.3411	1	1	31
161	hossain (2025)	0.4654	-0.4549	7	3	12
162	joo (2009)	0.8372	-0.3255	1	1	40
163	haber (2022)	0.635	-0.563	7	3	7
164	coronato (2022)	0.7937	-0.8391	8	1	43
165	gonzalez-dominguez (2021)	0.8848	-0.6629	6	4	6
166	haydock (2015)	0.4885	-0.7784	2	3	5
167	parreira (2020)	0.4592	-0.7403	2	6	9
168	thirumalai (2011)	0.3367	-0.7953	2	3	186
169	castner (2016)	0.4896	-0.7945	2	4	18
170	alexander (2002)	0.4495	-0.8521	2	2	19
171	becirovic (2025)	0.7339	-0.1953	1	1	0
172	antosz (2020)	0.8888	-0.624	6	4	27
173	kim (2020b)	0.4029	-0.252	5	2	10
174	guo (2016)	0.4082	-0.8459	2	1	12
175	pecoraro (2014)	0.8472	-0.7974	8	2	5
176	pietzsch (2008)	0.2032	-0.7234	4	3	51
177	castro (2013)	0.7931	-0.3302	1	5	19
178	mao (2020)	0.6997	-0.8865	8	1	1
179	liao (2024a)	0.2966	-0.2452	5	1	3
180	namshirin (2011)	0.4815	-0.7352	2	2	8
181	goswami (2025)	0.6542	-0.1239	1	1	0
182	zens (2015)	0.112	-0.5738	4	1	6
183	jing (2021)	0.4335	-0.8211	2	8	20
184	kramer (2010)	0.1759	-0.6313	4	4	38
185	perunicic (2025)	0.7567	-0.2063	1	3	1
186	baltaxe (2023)	0.2873	-0.1597	5	1	7
187	sertkaya (2022)	0.2649	-0.3641	3	2	39
188	stordeur (2013)	0.2106	-0.6223	4	2	7
189	tadic (2014)	0.412	-0.9264	2	2	20
190	webber (2021)	0.5743	-0.2234	1	1	3
191	barkaoui (2023)	0.136	-0.696	4	5	5
192	liljegren (2006)	0.8099	-0.5688	6	3	60
193	haber (2021)	0.5612	-0.5417	7	4	38
194	clarkson (2017)	0.3641	-0.8288	2	2	4
195	ginsburg (2005)	0.4573	-0.7599	2	9	61
196	freitas (2023)	0.2245	-0.5755	4	1	15
197	guaman-cabrera (2024)	0.6239	-0.7682	8	2	2
198	iadanza (2019b)	0.706	-0.3569	1	1	7
199	seidman (2014)	0.7944	-0.3915	1	1	3
200	aguwa (2010)	0.4315	-0.8601	2	3	13
201	liu (2005)	0.3842	-0.7873	2	2	24
202	baines (2023)	0.0596	-0.3694	3	2	12
203	gavurova (2019)	0.824	-0.6084	6	2	5
204	zippel (2017b)	0.4998	-0.8206	2	1	5
205	polisena (2018)	0.1991	-0.6852	4	5	28
206	kitchen (2022)	0.0995	-0.8217	4	1	0
207	mellado-silva (2022)	0.8726	-0.4891	6	3	4
208	knisely (2021)	0.364	-0.7513	2	2	3
209	ciani (2017)	0.2619	-0.5917	4	5	39
210	nuessler (2023)	0.1203	-0.3833	3	4	11
211	lindholm (2014)	0.764	-0.776	8	5	7
212	zanca (2022)	0.0849	-0.4922	3	2	28
213	heinz (2008)	0.4161	-0.319	5	1	4
214	bianchini (2019)	0.1384	-0.4498	3	5	14
