id	country	documents	citations	total link strength
2	australia	35	699	52
3	austria	14	278	42
5	belgium	25	391	50
7	bosnia & herceg	18	117	12
11	canada	31	788	17
13	china	143	1840	37
15	croatia	6	37	27
19	denmark	10	157	35
22	england	123	2540	154
24	finland	7	87	20
25	france	74	982	84
26	germany	92	943	90
28	greece	10	147	33
29	hungary	7	688	16
30	india	34	720	15
33	ireland	35	531	61
35	italy	84	1189	124
36	japan	32	304	20
50	netherlands	45	1470	110
57	poland	11	108	30
58	portugal	13	316	16
63	saudi arabia	13	165	15
64	serbia	11	33	19
68	south africa	12	188	15
69	south korea	43	653	20
70	spain	25	389	36
71	sweden	26	606	39
72	switzerland	32	560	86
77	turkiye	26	369	21
81	usa	314	6882	132
